epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.42129,1.34665,3.18187,1.63253,0.00332,1,0.67053,0.45957,1.28457,3.32327,1.53201,0,0,0
2,4.45596,1.03615,2.96378,1.22665,0.0033,1,0.6716,0.46,1.26105,3.2914,1.52506,1.65325e-05,1.65325e-05,1.65325e-05
3,6.33707,1.42118,3.12835,1.54635,0.00331,1,0.58884,0.41044,1.20361,3.32049,1.46356,3.27899e-05,3.27899e-05,3.27899e-05
4,8.51595,1.38352,3.03327,1.60081,0.00334,1,0.60369,0.43226,1.16727,3.27744,1.4204,4.87723e-05,4.87723e-05,4.87723e-05
5,10.263,1.23437,3.15166,1.56689,0.00341,1,0.52292,0.38447,1.06395,3.28358,1.35884,6.44796e-05,6.44796e-05,6.44796e-05
6,12.0775,1.1173,2.95395,1.21135,0.00345,1,0.52308,0.37907,1.03173,3.23178,1.32534,7.99118e-05,7.99118e-05,7.99118e-05
7,13.8876,1.04855,3.11507,1.37799,0.00352,1,0.52657,0.40621,0.91016,3.24418,1.26345,9.5069e-05,9.5069e-05,9.5069e-05
8,15.8908,0.97165,2.93883,1.35484,0.00356,1,0.60476,0.49558,0.77596,3.19154,1.18677,0.000109951,0.000109951,0.000109951
9,17.9045,1.09735,3.05327,1.40501,0.00363,1,0.78707,0.61307,0.65612,3.13725,1.14394,0.000124558,0.000124558,0.000124558
10,19.9531,0.96007,2.76966,1.17252,0.00361,1,0.81625,0.7113,0.60911,3.12445,1.09802,0.00013889,0.00013889,0.00013889
11,21.8758,0.84119,2.74414,1.13424,0.00363,1,0.808,0.74781,0.56197,3.09339,1.04426,0.000152947,0.000152947,0.000152947
12,23.7785,1.04337,2.80463,1.18007,0.00362,1,0.8795,0.80646,0.57868,3.0894,1.02789,0.000166729,0.000166729,0.000166729
13,25.5917,0.95434,2.81043,1.30189,0.00357,1,0.885,0.73568,0.57289,3.0846,1.03397,0.000180236,0.000180236,0.000180236
14,27.5083,0.88022,2.78571,1.28948,0.00359,1,0.87125,0.75504,0.54004,3.08043,1.00747,0.000193468,0.000193468,0.000193468
15,29.7466,1.01865,2.51715,1.29821,0.00354,1,0.8795,0.73183,0.57315,3.06198,0.996,0.000206425,0.000206425,0.000206425
16,31.5253,0.93101,2.58195,1.31906,0.00358,1,0.89187,0.7135,0.6845,3.08399,1.02712,0.000219106,0.000219106,0.000219106
17,33.4301,0.96703,2.36208,1.1773,0.00362,1,0.885,0.66104,0.83263,3.09799,1.13273,0.000231513,0.000231513,0.000231513
18,35.3093,0.82102,2.5221,1.21237,0.00362,1,0.885,0.66104,0.83263,3.09799,1.13273,0.000243645,0.000243645,0.000243645
19,37.2303,0.90866,2.27054,1.24514,0.00372,1,0.90071,0.67205,0.85972,3.10257,1.16338,0.000255501,0.000255501,0.000255501
20,39.0663,0.76089,2.22649,1.103,0.00372,1,0.90071,0.67205,0.85972,3.10257,1.16338,0.000267083,0.000267083,0.000267083
21,41.1433,0.84456,2.29478,1.28709,0.00376,1,0.9125,0.67192,0.84776,3.05864,1.18064,0.000278389,0.000278389,0.000278389
22,43.0644,0.64476,2.04788,0.99577,0.00376,1,0.9125,0.67192,0.84776,3.05864,1.18064,0.00028942,0.00028942,0.00028942
23,44.9642,0.84633,2.21593,1.11052,0.00379,1,0.929,0.72662,0.80183,3.02235,1.11701,0.000300177,0.000300177,0.000300177
24,46.6842,0.71695,2.04144,1.24391,0.00379,1,0.929,0.72662,0.80183,3.02235,1.11701,0.000310658,0.000310658,0.000310658
25,48.5341,0.79448,2.27819,1.23801,0.00374,1,0.995,0.84855,0.69046,2.98226,1.05034,0.000320864,0.000320864,0.000320864
26,50.3691,1.12265,2.13873,1.29433,0.00374,1,0.995,0.84855,0.69046,2.98226,1.05034,0.000330795,0.000330795,0.000330795
27,52.5115,0.862,2.02061,1.23083,0.00375,1,0.995,0.82078,0.69169,2.93759,1.05471,0.000340451,0.000340451,0.000340451
28,54.4498,0.91433,1.76897,1.18965,0.00375,1,0.995,0.82078,0.69169,2.93759,1.05471,0.000349832,0.000349832,0.000349832
